Acronym,Term,Definition
,Cost Estimating Relationship,"A mathematical relationship that defines cost as a function of one or more variables such as performance, operating characteristics, physical characteristics, etc."
,Cost Growth,"A term related to the net change of an estimated or actual amount over a base figure previously established. The base must be relatable to a program, project, or contract and be clearly identified, including source, approval authority, specific items included, specific assumptions made, date, and the amount."
,Cost Incurred,A cost identified using the accrual method of accounting.
,Cost Model,A compilation of cost estimating logic that aggregates cost estimating details into a cost estimate.
,Cost Objective,"A function, organizational subdivision, contract, or other work unit for which cost data are desired and for which provision is made to accumulate and measure its cost of processes, products, jobs, capitalized projects, etc.."
,Cost Overrun,The amount by which a contractor exceeds the estimated cost and/or the final limitation (ceiling) of the contract.
 CPIPT,Cost Performance Integrated Product Team,An IPT established to perform cost performance tradeoffs. This IPT is normally required for Major Defense Acquisition Programs (MDAPs).
,Cost Reimbursement Contracts,"In general, a category of contracts whose use is based on payment by the government to a contractor of allowable costs as prescribed by the contract. Normally only “best efforts” of the contractor are involved, such as cost, cost sharing, Cost Plus Fixed Fee (CPFF), Cost Plus Incentive Fee (CPIF), and Cost Plus Award Fee (CPAF) contracts."
,Cost Risk,Refers to the possibility that a project's expenses may exceed the budgeted amount
,Cost Savings,"An action that will result in a smaller-than-projected level of costs to achieve a specific objective. Incentive contracts where the contractor and government share in any difference in cost below the estimated target cost incurred by the contractor to achieve the cost objective is a cost savings. It differs from a cost avoidance in that a cost target has been set from which the savings can be measured. In cost avoidance, the amount is determined as the difference between two estimated cost patterns."
 CV,Cost Variance,"An output of the Earned Value Management System (EVMS) that measures cost overrun or cost underrun relative to the program Performance Measurement Baseline (PMB). It is equal to the difference between Budgeted Cost of Work Performed (BCWP) and Actual Cost of Work Performed (ACWP)—that is, CV = BCWP – ACWP."
,Cost-Based Budget,"A budget based on the cost of goods and services to be received during a given period whether paid for or not before the end of the period. Not to be confused with an expenditure-based budget, this is based on the cost paid for goods and services received."
 CPAF,Cost-Plus-Award-Fee Contracts,"A cost reimbursement type contract suitable for level of effort contracts where mission feasibility is established but measurement of achievement must be by subjective evaluation rather than objective measurement. A CPAF contract provides for a fee consisting of (a) a base amount (which may be zero) fixed at inception of the contract and (b) an award amount, based upon a judgmental evaluation by the Government sufficient to provide motivation for excellence in contract performance. A CPAF contract may not be used to avoid establishing a Cost Plus Fixed Fee (CPFF) contract when the criteria for CPFF contracts apply or developing objective targets so a Cost Plus Incentive Fee (CPIF) contract can be used."
 CPFF,Cost-Plus-Fixed-Fee Contracts,"A cost reimbursement-type contract that provides for the payment of a fixed fee to the contractor. The fixed fee, once negotiated, does not vary with actual cost, but may be adjusted as result of any subsequent changes in the scope of work or services to be performed under the contract."
 CPIF,Cost-Plus-Incentive-Fee Contracts,"A cost reimbursement-type contract with provision for a fee, which is adjusted by formula in accordance with the relationship that total allowable costs bear to target costs. The provision for increase or decrease in the fee, depending upon allowable costs of contract performance, is designed as an incentive to the contractor to increase the efficiency of performance."
 C/PD,Cost/Pricing Data,"All facts that, as of the date of price agreement, or, if applicable, an earlier date agreed upon between the parties that is as close as practicable to the date of agreement on price, prudent buyers and sellers would reasonably expect to affect price negotiations significantly. Cost or pricing data are factual, not judgmental; and are verifiable. While they do not indicate the accuracy of the prospective contractor's judgment about estimated future costs or projections, they do include the data forming the basis for that judgment. Cost or pricing data are more than historical accounting data; they are all the facts that can be reasonably expected to contribute to the soundness of estimates of future costs and to the validity of determinations of costs already incurred. They also include, but are not limited to, such factors as- (1) Vendor quotations; (2) Nonrecurring costs; (3) Information on changes in production methods and in production or purchasing volume; (4) Data supporting projections of business prospects and objectives and related operations costs; (5) Unit-cost trends such as those associated with labor efficiency; (6) Make-or-buy decisions; (7) Estimated resources to attain business goals; and (8) Information on management decisions that could have a significant bearing on costs."
,Could Cost,A technique designed to achieve the best quality and price for goods purchased based on what a program could cost if both the government and contractor eliminate all non-value-added work done or required by either party.
,Counterfeit Materiel,"Materiel whose identity or characteristics have been deliberately misrepresented, falsified, or altered without legal right to do so."
 CISP,Counterintelligence Support Plan,"A formal and living plan describing activities conducted by a Defense Counterintelligence (CI) Component in support of a DoD research, development and acquisition program or activity with critical program information (CPI), at DoD-affiliated research, development, test and evaluation facilities, and at essential cleared defense contractors where CPI resides."
 COAA (Supporting an Urgent Operational Need),Course of Action Analysis (Supporting an Urgent Operational Need),"Developed during the Pre-Development Phase of the urgent capability acquisitions process. The COAA replaces and serves as an Analysis of Alternatives, and is approved by the Milestone Decision Authority. It is a statutory requirement that meets the assessment requirements of Subtitle III of Title 40, U.S.C."
,Covered System,"A major system (as defined by 10 U.S. Code 3041) referring to a vehicle, weapon platform, or conventional weapon system that includes features designed to provide some degree of protection to users in combat. A conventional munitions program, planning to acquire more than 1,000,000 rounds (regardless of major system status) or missile program; or a modification to a covered system (covered product improvement program) likely to significantly affect the survivability or lethality of such a system. Can refer to any other system or program designated by the Secretary of Defense within 10 U.S. Code 4172; or A major defense acquisition program as defined in 10 U.S. Code 4201"
,Cradle-To-Grave,"Total life cycle of a given system, from concept through development, acquisition, operations phases, and final disposition. Also called “womb-to-tomb.”"
,Critical Acquisition Processes,"The following are included in industrial and program critical acquisition processes: design, test, production, facilities, logistics, and management."
 CET,Critical and Emerging Technologies List,"Subset of advanced technologies that are potentially significant to U.S. national security. Each CET area has key subfields that describe the scope of the area more fully. This list was generated by OUSD(R&E), updated by an interagency consensus on the original 2020 CETs, and is published by the White House. The 2021 Interim National Security Strategic Guidance defines three national security objectives: protect the security of the American people, expand economic prosperity and opportunity, and realize and defend democratic values."
,Critical Application Item,"An item that is essential to weapon system performance or operation, the preservation of life, or the safety of personnel as determined by the military services."
,Critical Characteristic,"A characteristic that analysis indicates is likely, if defective, to create or increase a hazard to human safety, or to result in failure of a system to perform a required function."
,Critical Component,"A component which is or contains information and communications technology (ICT), including hardware, software, and firmware, whether custom, commercial, or otherwise developed, and which delivers or protects mission critical functionality of a system or which, because of the system's design, may introduce vulnerability to the mission critical functions of an applicable system."
,Critical Cost Growth Threshold,A 25 percent increase over the Average Procurement Unit Cost (APUC) or Program Acquisition Unit Cost (PAUC) in the current Baseline Estimate (BE) for the program or at least a 50 percent increase over the APUC or PAUC in the original BE for the program.
 CDR,Critical Design Review,"A multidisciplined technical review to ensure that a system can proceed into fabrication, demonstration, and test, and can meet stated performance requirements within cost, schedule, risk, and other system constraints. Generally this review assesses the system's final design as captured in product specifications for each Configuration Item (CI) in the system's product baseline, and ensures that each CI in the product baseline has been captured in the detailed design documentation. Normally conducted during the Engineering and Manufacturing Development (EMD) phase."
,Critical Design Review Assessment,"A system-level assessment conducted to inform the decision authority of the program's design maturity, technical risks, and the program's readiness to begin developmental prototype hardware fabrication and/or software coding with acceptable risk."
,Critical Infrastructure,"Those assets, systems, and networks that provide functions necessary for our way of life. There are 16 critical infrastructure sectors whose assets, systems, and networks, whether physical or virtual, are considered so vital to the United States that their incapacitation or destruction would have a debilitating effect on security, national economic security, national public health or safety, or any combination thereof."
 CIP,Critical Intelligence Parameter,"A threat capability or threshold established collaboratively by the requirements sponsor and the component capability developer, changes to which could critically impact the effectiveness and survivability of the proposed system."
,Critical Issues,"Those aspects of a system's capability, operational, or technical and other aspects that must be questioned before a system's overall suitability can be known. Critical issues are of primary importance to the decision authority in reaching a decision to allow the system to advance into the next phase of development."
 COI,Critical Operational Issue,"COIs are key operational effectiveness or suitability issues that must be examined in operational test and evaluation to determine the system's capability to perform its mission. COIs must be relevant to the required capabilities and of key importance to the system being operationally effective, operationally suitable and survivable, and represent a significant risk if not satisfactorily resolved. A COI/COIC is normally phrased as a question that must be answered in the affirmative to properly evaluate operational effectiveness (e.g., “Will the system detect the threat in a combat environment at adequate range to allow successful engagement?”) and operational suitability (e.g., ""Will the system be safe to operate in a combat environment?). COIs/COICs are critical elements or operational mission objectives that must be examined, are related to Measures of Effectiveness (MOE) and Measures of Suitability (MOS), and are included in the Test and Evaluation Master Plan (TEMP)."
 CP,Critical Path,A sequence of discrete work packages and planning packages (or lower level tasks/activities) in the network that has the longest total duration with the least amount of total float/slack through an end point that is calculated by the schedule software application.
,Critical Path Analysis,A network analysis technique used to predict project duration by analyzing which sequence of activities (which path) has the least amount of scheduling flexibility (the least amount of float).
 CPM,Critical Path Method,"A technique that aids understanding of the dependency of events in a project and the time required to complete them. Activities that, when delayed, have an impact on the total project schedule are critical and said to be on the Critical Path (CP)."
 CPI,Critical Program Information,"U.S. capability elements that contribute to the warfighters' technical advantage, which if compromised, undermines U.S. military preeminence. U.S. capability elements may include, but are not limited to, software algorithms and specific hardware residing on the system, its training equipment, or maintenance support equipment."
 CSI,Critical Safety Item,"A part, assembly, installation, or production system with one or more critical safety characteristics that, if missing or not conforming to the design data, quality requirements, or overhaul and maintenance documentation, would result in an unsafe condition."
 CTP,Critical Technical Parameter,"A measurable critical system characteristic that, when achieved, allows the attainment of a desired operational performance capability. CTPs are measures derived from desired user capabilities and are normally used in Developmental Test and Evaluation (DT&E). CTPs should have a direct or signifiant indiret correlation to key CDD and required system specifications or CONOPS. CTPs should be focused on critial design features or risk areas."
,Critical Technology,"Those technologies that may pose major technological risk during development, particularly during the Engineering and Manufacturing Development (EMD) phase of acquisition."
,Critical Weakness Reliability Test,"Determines the mode of failure when equipment is exposed to environments in excess of the anticipated environments. By this testing, critical levels can be determined for parameters such as vibration, temperature, and voltage that will adversely affect the component."
,Criticality,A relative measure of the consequences of a failure mode and its frequency of occurrence.
,Criticality Analysis,Procedure by which each potential failure mode is ranked according to the combined influence of severity and probability of occurrence.
,Cross-Servicing,That function performed by one military service in support of another military service for which reimbursement is required from the Service receiving support.
,Cumulative Average Cost Curve,A plot of the average cost of N units at any quantity N.
 CE,Current Estimate,"Component and/or program manager's (PM's) most recent estimate of the program's cost/schedule/performance parameters; this usually reflects the current President's Budget (PB) as adjusted by fact-of-life changes (i.e., fact-of-life meaning things that have already happened or were unavoidable). For Acquisition Category (ACAT) I and ACAT IA programs, current cost/schedule/performance estimates of the Acquisition Program Baseline (APB) parameters are reported quarterly in the Defense Acquisition Executive Summary (DAES)."
,Current Level,"The funding amounts provided or required by law as a result of permanent appropriations, advance appropriations, existing entitlement authority, and previous year outlays from discretionary appropriations. Credit authority provided by any of these laws also is considered part of the current level, as are direct loans that result from defaults on guaranteed loans."
,Current Services,"An estimate, provided each year by the Office of Management and Budget (OMB) of the Budget Authority (BA) and outlays that would be needed in the next Fiscal Year (FY) to continue federal programs at their current levels. These estimates reflect the anticipated costs of continuing these programs at their present spending levels without any policy changes, that is, ignoring all new presidential and congressional initiatives that have not yet been enacted into law."
 CY,Current Year,The fiscal year during which the President's budget is submitted in any year.
,"Current Year Dollars, Then-Year dollars",Dollars that include the effects of inflation or escalation and/or reflect the price levels expected to prevail during the year at issue.
,Cyber Attack,"Actions taken in cyberspace that create noticeable denial effects (i.e., degradation, disruption, or destruction) in cyberspace or manipulation that leads to denial that appears in a physical domain, and is considered a form of fires."
 CS,Cybersecurity,"Prevention of damage to, protection of, and restoration of computers, electronic communications systems, electronic communications services, wire communication, and electronic communication, including information contained therein, to ensure its availability, integrity, authentication, confidentiality, and nonrepudiation."
,Cybersecurity Maturity Model Certification,"​A unifying standard for the implementation of cybersecurity across the Defense Industrial Base (DIB). The Cybersecurity Maturity Model Certification framework includes a comprehensive and scalable certification element to verify the implementation of processes and practices associated with the achievement of a cybersecurity maturity level. CMMC is designed to provide increased assurance to the Department that a DIB company can adequately protect sensitive unclassified information, accounting for information flow down to subcontractors in a multi-tier supply chain."
,Cybersecurity Strategy,"Requirement for all acquisitions of systems containing Information Technology (IT), including National Security Systems (NSS). The Cybersecurity Strategy provides the program's plan for ensuring cybersecurity and will be reviewed prior to all acquisition milestone decisions, program decision reviews, and acquisition contract awards."
,Cybersecurity/Security Testing,Process to determine that an information system protects data and maintains functionality as intended.
,Cyberspace,"A global domain within the information environment consisting of the interdependent network of information systems infrastructures including the Internet, telecommunications networks, computer systems, and embedded processors and controllers."
,Cycle Time,The time required to complete a predetermined number of article(s) of production.
,DAB Program,Requires an Under Secretary of Defense for Acquisition and Sustainment (USD(A&S)) decision at each milestone or decision review point.
,Damage Effects,"The results or consequences of a damage mode upon the operation, function, or status of a weapon system or any of its components. Damage effects are classified as primary damage effects and secondary damage effects."
,Damage Mode,Generally describes the way damage occurs.
 DMEA,Damage Mode and Effects Analysis,Analysis of a system or piece of equipment to determine the extent of damage sustained from the given level of hostile weapon damage mechanisms and the effect of such damage modes on the continued controlled operation and mission completion capabilities of the system or equipment.
,Data Administration,"An organizational function for managing an enterprise's data resources, developing information policies, maintaining data and data quality standards, and developing data dictionaries for the organization. Within DoD, the Defense Information Systems Agency (DISA) maintains a repository of over 16,000 mandatory standard data elements for DoD systems. The repository is part of DoD's Metadata Registry."
 DIV,Data and Information Viewpoint,Models within the Data and Information Viewpoint provide a means of portraying the operational and business information requirements and rules that are managed within and used as constraints on the organizations business activities.
,Data Attributes,The quantitative or qualitative characteristics of a data element.
,Data Call,"In response to a Program Manager's (PM's) data call, Contract Data Requirements List (CDRL) candidate items are developed by persons with data needs. Most are developed to fit under standard Data Item Descriptions (DIDs)."
,Data Center,"A closet, room, floor or building for the storage, management, and dissemination of data and information. Such a repository houses computer systems and associated components, such as database, application, and storage systems and data stores. A data center generally includes redundant or backup power supplies, redundant data communications connections, environmental controls (air conditioning, fire suppression, etc.) and special security devices housed in leased (including by cloud providers), owned, collocated, or stand-alone facilities."
,Data Collection Plan,Is a living document identifying how a cost estimate was developed and is updated whenever new information becomes available.
 DID,Data Item Description,"A completed form that defines the data required of a contractor. DIDs specifically define the data content, preparation instructions, format, and intended use."
 DMS,Data Management Strategies,"Addresses all forms of recorded information, regardless of the method of recording, and includes both government- and contractor-created data. The DMS must be approved and integrated in the acquisition strategy and integrated with other life cycle sustainment planning prior to issuing a contract solicitation. Acquisition Category (ACAT) I and II programs must submit a DMS prior to each milestone review as part of the acquisition strategy."
,Data Normalization,The adjustment of a data set stripping out the effect of certain external influences in order to make it consistent with and comparable to other data used in the estimate.
,De Facto Standards,"Something that has gained widespread acceptance in the market place, but is not “officially” sanctioned by any international, national, or government organization."
,Debug,"To detect, locate, and correct faults in a computer program."
,Decision Authority,"​The official responsible for oversight and key decisions of programs that use the software acquisition pathway in accordance with this issuance and related component policies. The official designates a PM and supports them in tailoring and streamlining processes, reviews, and decisions to enable speed of capability delivery. The official may be the Defense Acquisition Executive, Component Acquisition Executive (CAE), or the Program Executive Officer, or other designated official by the CAE."
,Decision Authority (Services Acquisition),"The individual responsible for ensuring that a proposed services acquisition is consistent with DoD's policies, procedures, and best practices guidelines for the acquisition of services through approval of the acquisition strategy."
,Decision Support Systems,"The authoritative system for processing, coordinating, tasking, and archiving Joint Capability Integration and Development System (JCIDS) capability documents. JCIDS capability documents (Initial Capabilities Document (ICD), Capability Development Document (CDD) and updated CDD) are posted by the sponsor to KM/DS."
,Decrement,Directed funding level reduction for acquisition program(s).
,Defective Pricing,"Result of Cost/Pricing Data (C/PD) that was certified by a contractor to be accurate, current, and complete but was not."
 DAB,Defense Acquisition Board,"The DAB is the Department's senior-level forum for advising the Under Secretary of Defense for Acquisition and Sustainment (USD(A&S)) on critical decisions concerning Acquisition Category (ACAT) ID programs, and selected ACAT IA programs. The DAB is composed of the DoD's senior executives. The DAB is chaired by the USD(A&S). Other executive members of the DAB include: • Vice Chairman, Joint Chiefs of Staff (VCJCS) • Secretaries of the Military Departments • Under Secretary of Defense (Research & Engineering) • Under Secretary of Defense (Comptroller) • Under Secretary of Defense (Policy) • Under Secretary of Defense (Personnel and Readiness) • Under Secretary of Defense (Intelligence) • Chief Information Officer of DoD • Director of Operational Test and Evaluation • Director, Cost Assessment and Program Evaluation • Director, Acquisition Resources and Analysis (executive secretary of the DAB) An Acquisition Decision Memorandum (ADM) will document decisions resulting from DAB reviews."
 DAE,Defense Acquisition Executive,The individual responsible for supervising the Defense Acquisition System. The DAE takes precedence on all acquisition matters after the Secretary and Deputy Secretary of Defense.
 DAES,Defense Acquisition Executive Summary,"DAES is the principal mechanism for tracking programs between milestone reviews. A DAES report is provided by the Program Managers (PMs) of Major Defense Acquisition Programs (MDAPs), Acquisition Category (ACAT) I to the Under Secretary of Defense for Acquisition and Sustainment (USD(A&S) each calendar quarter."
 DAG,Defense Acquisition Guidebook,"A web-based resource for the Defense acquisition workforce, the DAG provides best practices, staff expectations, notional document formats (e.g., the Test and Evaluation Master Plan (TEMP)), and lessons learned."
 DAMIR,Defense Acquisition Management Information Retrieval System,"A personal computer-based data entry and reporting system combining common and unique Defense Acquisition Executive Summary (DAES), Selected Acquisition Report (SAR), and Acquisition Program Baseline (APB) components into a unified database from which DAES and SAR reports and APB documents can be printed. Access is restricted to DoD users that have a DAMIR account. Selected program manager/program executive officer/service acquisition executive (PM/PEO/SAE) users can create, edit, and review APB, DAES, and SAR data. Other users with an account may review and print."
 DAP,Defense Acquisition Portal,"The central point of access for all Acquisition, Technology and Logistics (AT&L) resources and information that also communicates acquisition policy and best practices and provides a link to education and training resources. As the primary reference tool for the Defense Acquisition Workforce, the DAP provides a means to link together information and reference assets from various disciplines into an integrated but decentralized information source."
,Defense Acquisition Regulations Council,"The DAR Council is is responsible for developing fully coordinated recommendations for revisions to the Federal Acquisition Regulation (FAR), current edition, Defense Federal Acquisition Regulation Supplement (DFARS), current edition, and the DFARS Procedures, Guidance, and Information (PGI), current edition that are responsive to overall DoD needs. The DAR Council consists of the DAR Council Director; the Deputy Director, who serves under the direction of the DAR Council Director; and a policy representative and a legal representative from each military department, the Defense Logistics Agency (DLA), and the Defense Contract Management Agency (DCMA)."
 DAS,Defense Acquisition System,"The management process by which the DoD provides effective, affordable, and timely systems to the users. Approaches, phases, activities, and major decision points are defined within the Adaptive Acquisition Framework defined in DoDI 5000.02."
 DAWIA,Defense Acquisition Workforce Improvement Act,"The Defense Acquisition Workforce Improvement Act was passed into law by Congress in November of 1990. The Act requires the Secretary of Defense, acting through the Under Secretary of Defense for Acquisition, Technology, and Logistics (AT&L) to have established education and training standards, requirements, and courses for the civilian and military acquisition workforce."
 DBS,Defense Business System,"An information system that is operated by, for, or on behalf of the Department of Defense, including: financial systems, financial data feeder systems, contracting systems, logistics systems, planning and budgeting systems, installations management systems, human resources management systems, and training and readiness systems. A business system does not include a national security system or an information system used exclusively by and within the defense commissary system or the exchange system or other instrumentality of the DoD conducted for the morale, welfare, and recreation of members of the armed forces using non-appropriated funds."
 DBSMC,Defense Business Systems Management Committee,"Organization that provides oversight of defense business systems. The Chair of the DBSMC, the Deputy Secretary of Defense, is the final approval authority for all statutorily required DBS certification and will document such decisions."
,Defense Cooperation,"Defense cooperation is a generic term for the range of activity undertaken by DoD with its allies and other friendly nations to promote international security. Such activity includes, but need not be confined to, security assistance, industrial cooperation, armaments cooperation, Foreign Military Sales (FMS), training, logistics cooperation, cooperative research and development (R&D), Foreign Comparative Testing (FCT), and Host-Nation Support (HNS)."
,Defense Cooperation Country,"A “qualifying country” that has a defense cooperation agreement with the United States and for which a Determination and Findings (D&F) has been made by the Secretary of Defense (SECDEF), waiving the Buy American Act (BAA) restrictions for a list of mutually agreed-upon items."
 DCSA,Defense Counterintelligence and Security Agency,"The largest counterintelligence and security agency in the federal government that is responsible for providing personnel vetting, critical technology protection, counterintelligence, training, education and certification. DCSA services over 100 federal entities, oversees 10,000 cleared companies, and conducts approximately 2 million background investigations each year."
 DEF,Defense Exportability Features (DEF),"Includes Anti-Tamper protection measures suitable for export and differential capability modifications, to include removal of technologies and/or capabilities that U.S. laws and regulations prohibit for export, and also provides a means of protecting CPI in export configurations."
,Defense Exportability Integration (DEI),"The process to identify, develop and integrate USG/DoD Technology Security & Foreign Disclosure and DoD Technology Protection features into U.S. defense systems early in the acquisition process to protect Critical Program Information (CPI), critical technologies, and leading-edge warfighting capabilities to enable these systems' export to partners."
 DIB,Defense Industrial Base,"The domestic DIB includes public-sector (government-owned, government-operated) facilities, academic institutions, and private-sector (commercial) companies located in the United States. The global DIB includes foreign-owned companies and commodities sourced from countries with which the United States maintains formal defense cooperation partnerships, as well as foreign-owned companies and commodities sourced from countries without formal defense cooperation relationships with the United States. Together, the domestic DIB and portions of the global DIB form the National Technology and Industrial Base (NTIB), as established by 10 U.S.C. § 4801."
,Defense Industrial Cooperation,"Activities undertaken pursuant to a government-to-government agreement to foster cooperation in research and development (R&D), production and procurement, and logistics support (LS) of defense equipment that emphasize joint production of systems to satisfy the military requirements of one or more allied or friendly nations in coordination with the United States. U.S. activities performed in conjunction with selected foreign countries, which are intended to stimulate the development of foreign defense industrial capabilities, particularly in emerging technologies, for the mutual benefit of all participants."
,Defense Information,"Any document, writing, sketch, photograph, plan, model, specification, design prototype, or other recorded or oral information relating to any defense article, defense service, or major combatant vessel, but shall not include restricted data as defined by the Atomic Energy Act (AEA) of 1954, as amended, and data removed from the restricted data category under§ 142 of that Act."
 DIEA,Defense Information Enterprise Architecture,"Provides a common foundation to support accelerated DoD transformation to network-centric operations and establishes priorities to address critical barriers to its realization. The Defense Information Enterprise comprises the information, information resources, assets, and processes required to achieve an information advantage and share information across DoD and with mission partners. DIEA describes the integrated Defense Information Enterprise and the rules for the information assets and resources that enable it."
 DIE,Defense Intelligence Enterprise,"The organizations, infrastructure, and measures to include policies, processes, procedures, and products of the Intelligence, Counterintelligence (CI), and Security Components of the Joint Staff, Combatant Commands (CCMDs), Military Departments (MILDEPs), and other DoD elements that perform National Intelligence, Defense Intelligence, intelligence-related, CI, and security functions, as well as those organizations under the authority, direction, and control of the Under Secretary of Defense (Intelligence and Security)."
 DITL,Defense Intelligence Threat Library,The online repository of Threat Modules.
 DPG,Defense Planning Guidance,"Product of the Planning, Programming, Budgeting and Execution (PPBE) process' planning phase. The DPG reflects the President's National Security Strategy (NSS), the Secretary of Defense's (SECDEF's) National Defense Strategy, and the Chairman's National Military Strategy (NMS). It also reflects results of the Quadrennial Defense Review (QDR), and the annual Chairman's Program Recommendations (CPR). The DPG drives the development of the Program Objective Memoranda (POM) and Budget Estimate Submissions (BES)."
 DPAS,Defense Priorities and Allocations System,"A regulation administered by the Department of Commerce (DoC) that implements the priorities and allocations authority contained in Title 1 of the Defense Production Act (DPA) of 1950 with respect to industrial resources. The purpose of DPAS is to ensure the timely availability of industrial resources to meet national defense and emergency preparedness requirements. Certain national defense, energy, and homeland security programs are approved for priorities and allocations support. The DoC has delegated authority to DoD to place priority ratings on its contracts in accordance with DPAS. DoD uses two priority ratings: DX and DO. DX rated programs and their orders are of the highest national defense urgency and are approved by the Secretary of Defense or Deputy Secretary of Defense. DO rated orders are lower priority than DX-rated orders but take precedence over unrated orders. DPAS cannot be used to prioritize food, energy, health, water, or civil transportation resources."
 DPA,Defense Production Act of 1950,"Title 1 of this Act is the statutory basis for the Defense Priorities and Allocations System (DPAS). Title 1 is also one of the nonpermanent provisions of the DPA that needs to be periodically reauthorized, which Congress has done in the past for periods of 1 to 5 years. The DPA authorizes the President to require acceptance and priority performance on contracts and orders, and to allocate materials, services, and facilities to support national defense and emergency preparedness requirements. The President has delegated his priority and allocation authority to the Departments of Defense, Homeland Security, and Energy according to resource required."
 DSLC,Defense Senior Leadership Conference,"One of the principal integrated civilian-military governance bodies of DoD. Meets at least semi-annually to address broad, crosscutting issues affecting the Office of the Secretary of Defense (OSD), the military departments, the combatant commands (CCMDs), and interagency efforts. The DSLC shall provide advice and assistance to the Secretary of Defense (SECDEF) on the strategic direction of the department."
 DWCF,Defense Working Capital Fund,"A revolving fund using a business-like buyer and seller approach with a goal of breaking even over the long term. Stabilized rates or prices are generally established each fiscal year. DWCF stabilized rates or prices are adjusted for sales to customers to include an amount for unfunded civilian retirement and post-retirement health benefits costs. The DWCF was established on December 11, 1996, upon the reorganization of the former Defense Business Operations Fund."
,Deferral of Budget Authority,"Any action or inaction by any officer or employee of the United States that withholds, delays, or effectively precludes the obligation or expenditure of budgetary resources, including the establishment of reserves under the Antideficiency Act (ADA). BA may be deferred to provide for contingencies, to achieve savings or greater efficiency in the operations of government, or as otherwise specified by law. BA may not be deferred in order to affect a policy in lieu of one established by law or for any other reason. Deferrals must be communicated to Congress by the President in a special message. Deferrals may not extend beyond the end of the fiscal year in which the message reporting the deferral is transmitted and may be overturned by the passage of an impoundment resolution by either House of Congress."
,Deficiency,A material failure of a proposal to meet a Government requirement or a combination of significant weaknesses in a proposal that increases the risk of unsuccessful contract performance to an unacceptable level.
,Definite-Quantity Contracts,"A definite-quantity contract provides for delivery of a definite quantity of specific supplies or services for a fixed period, with deliveries or performance to be scheduled at designated locations upon order."
,Definition and Planning,Information used to identify the technical and program parameters that will bind the cost estimate.
,Definitization,"The agreement on or determination of contract terms, specifications, and price, which converts the undefinitized contract action to a definitive contract."
,Degradation,"Lowering of quality, performance, or status; also a gradual impairment in the ability to perform."
,Delay Allowance,A time increment included in a time standard to allow for predictable contingencies and minor delays beyond the control of the worker.
,Deliberate Staffing and Validation Process,"One of the Joint Capability Integration and Development System (JCIDS) staffing processes for other than emergent/urgent capability requirements and includes review and assignment of a Joint Staffing Designator by the Gatekeeper (Deputy Director, Joint Staff J8) upon receipt of a new JCIDS document via the Knowledge Management/Decision Support (KM/DS) System, review by the cognizant Functional Capability Board Working Group (FCB WG) and FCB, adjudication of FCB WG/FCB comments by the Sponsor, and validation of the document and upload to the KM/DS system. The target for completion of a document deliberate staffing and validation cycle is 83 calendar days."
,Delta,"Change or difference, e.g., a funding delta."
 DEMIL,Demilitarization,"Rendering a product unusable for, and not restorable to, the purpose for which it was designed or is customarily used."
,Demonstration and Validation,Research and Development (R&D) category 04 under Major Force Program (MFP) 6 of the Future Years Defense Program (FYDP). Includes all efforts necessary to evaluate integrated technologies in as realistic an operating environment as possible to assess the performance or cost reduction potential of advanced technology. This category is system specific and includes Advanced Technology Demonstrations (ATDs) that help expedite technology transition from the laboratory to operational use. A logical progression of program phases and funding (development and/or production) must be evident. Program Elements (PEs) in this category involve efforts between Milestone A and Milestone B.
,Department of Defense 5000 Series,Refers collectively to DoDD 5000.01 and DoDI 5000.02.
,Department of Defense Components,"The Office of the Secretary of Defense, the Military Departments, the Chairman of the Joint Chiefs of Staff and the Joint Staff, the combatant commands, the Office of the Inspector General of the Department of Defense, the Department of Defense agencies, Department of Defense field activities, and all other organizational entities in the Department of Defense."
 DSE,Department of Defense Data Services Environment,"DoD registry that provides an on-line repository enabling developers to reuse, understand, and share existing data assets. It addresses structural and semantic metadata such as schemas, Web service description language, stylesheets, and taxonomies; descriptive metadata about proposed and approved Authoritative Data Sources (ADSs), including their relationships and their responsible governance authorities; and descriptive, semantic, and structural metadata about services and other functional capabilities, including service definitions and specifications that can be discovered for subsequent use. The DSE has a Web-based interface with streamlined metadata registration and discovery capabilities that support the visibility of DoD operational capabilities, data standards, and data needs. The DSE provides a number of service interfaces supporting both design-time and run-time access to metadata, and it interacts with other registries and repositories through Open Search federation."
 DoDD,Department of Defense Directive,"DoD Directives establish policy, assign responsibilities, and delegate authority to DoD Components. They contain no procedures and there are two types: Direct Oversight and Chartering."
 DoDD 5000.01,"Department of Defense Directive 5000.01, The Defense Acquisition System","The principal DoD directive on acquisition, it states policies applicable to all DoD acquisition programs. These policies fall into five major categories: flexibility, responsiveness, innovation, discipline, and streamlined and effective management."
 DoDEA,Department of Defense Enterprise Architecture,"A federation of descriptions that provide context and rules for accomplishing the mission of the DoD. These descriptions are developed and maintained at the Department, Capability Area, and Component levels and collectively define the people, processes, and technology required in the ""current"" and ""target"" environments, and the roadmap for transition to the target environment."
 DoDIN,Department of Defense Information Network,"The integrated network, centrally managed and configured by the Defense Information Systems Agency, to provide dedicated, point to-point, switched voice and data, imagery, and video teleconferencing services for all Department of Defense activities."
